model,config,mean_acc,std_acc,mean_f1,std_f1,mean_recall,std_recall,mean_precision,std_precision,loss,accuracy,precision,recall,f1
ResNet,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.5, 'weight_decay': 0.001}",0.7588583333333333,0.007582056101338647,0.7577104997159648,0.007957485037657726,0.7588583333333333,0.0075820561013386365,0.7626721007760586,0.0071860704088525795,0.6806486463058347,0.7613555555555556,0.7657005355559938,0.7613555555555556,0.7595990800681041
ResNet,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.5, 'weight_decay': 0}",0.7609116666666667,0.00827929180784843,0.7601119863865108,0.008420073708109859,0.7609116666666667,0.008279291807848409,0.7640414895865106,0.0075555270958240165,0.6604296704664843,0.7674333333333333,0.7679838084014121,0.7674333333333333,0.7668658622666468
ResNet,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0.001}",0.7608283333333333,0.006979140436656066,0.7602725668556618,0.007059566385015535,0.7608283333333333,0.006979140436656062,0.7640063517688485,0.0069181714963502975,0.679723907864649,0.7613222222222222,0.7652869130297997,0.7613222222222223,0.7615568580003407
ResNet,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.2, 'weight_decay': 0}",0.7610966666666666,0.008046161572413436,0.7607236362816977,0.007975740088567823,0.7610966666666666,0.008046161572413455,0.7651832331603152,0.007408702614898778,0.6697256243762875,0.7659666666666667,0.7676151995315211,0.7659666666666667,0.7646184198418131
ResNet,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.5, 'weight_decay': 0}",0.7584838888888888,0.009987429704972186,0.7577219513802749,0.009909817020793856,0.7584838888888888,0.009987429704972203,0.7641291137310421,0.0075131767122329175,0.6653283560139363,0.7672555555555556,0.7705820115013855,0.7672555555555556,0.7671925332259756
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.5, 'weight_decay': 0}",0.3495432222222222,0.031979667786768654,0.32818782127923907,0.03453584733365737,0.3495432222222222,0.031979667786768654,0.40429860669890944,0.024993575838267446,32.9984144058026,0.33357777777777775,0.37168115744510877,0.3335777777777778,0.3184353187791519
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.5, 'weight_decay': 0}",0.3545111111111111,0.024298549107185465,0.3402841353056312,0.027750556076910828,0.3545111111111111,0.02429854910718546,0.4135837149851841,0.03153473681160542,30.10483629253164,0.35583333333333333,0.38963417018618685,0.35583333333333333,0.3383179651811054
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.2, 'weight_decay': 0.001}",0.4101073333333333,0.04097852482392735,0.391836454810511,0.04660888894818134,0.4101073333333333,0.04097852482392735,0.4863665915393667,0.019652215530335013,7.775573963791775,0.43104444444444445,0.4966639526617385,0.43104444444444445,0.4139643727118932
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0.001}",0.39636655555555556,0.044214871970210005,0.38337053771412133,0.048326544411455126,0.39636655555555556,0.04421487197021001,0.48704701928264077,0.019276553194882712,8.955538452034302,0.3925444444444444,0.4876952414962778,0.3925444444444445,0.3857300289302879
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0}",0.3673661111111111,0.030187567581718318,0.3482612151028246,0.03201846587644904,0.3673661111111111,0.030187567581718314,0.4314189869065293,0.026771034403634802,31.84154647077841,0.3584888888888889,0.4132618895381278,0.3584888888888889,0.338054798655003
