model,config,val_loss,val_accuracy,val_precision,val_recall,val_f1,test_loss,test_accuracy,test_precision,test_recall,test_f1
DenseNet121,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.5, 'weight_decay': 0.001}",0.6382209465696936,0.7768666666666667,0.7759118775500399,0.7768666666666666,0.775976396923798,0.642481317294055,0.7758777777777778,0.7752666429529842,0.7758777777777778,0.7751526666072063
DenseNet121,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.5, 'weight_decay': 0}",0.636141535658833,0.7769888888888888,0.7758324355936145,0.776988888888889,0.7755582883373064,0.6405386347025686,0.7758888888888889,0.7748044475568777,0.7758888888888889,0.7745663376702687
DenseNet121,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0.001}",0.5921252409106804,0.7896,0.7909097284460928,0.7896000000000001,0.7893673761268263,0.5975083437358575,0.7883555555555556,0.7897188073867133,0.7883555555555557,0.7882064797334293
DenseNet121,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.2, 'weight_decay': 0}",0.5846908981800927,0.7936888888888889,0.7934831779411354,0.7936888888888889,0.7933420472184826,0.5901030079563275,0.7911555555555555,0.7910656301146403,0.7911555555555556,0.7909070386761791
DenseNet121,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.5, 'weight_decay': 0}",0.6285757652241862,0.7793888888888889,0.7788489549779936,0.7793888888888889,0.7784854823454779,0.6317804840125523,0.7775111111111112,0.7771818804881748,0.7775111111111112,0.776724490008247
VGG16_BN,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.5, 'weight_decay': 0.001}",0.6857008551453679,0.7532222222222222,0.7567714776697472,0.7532222222222222,0.7533387919071146,0.6908786489982178,0.7528444444444444,0.7563981586418694,0.7528444444444444,0.7530163019970052
VGG16_BN,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.5, 'weight_decay': 0}",0.6734498978042535,0.7559666666666667,0.7570593587355454,0.7559666666666668,0.7546287218403069,0.6775882518772464,0.7580666666666667,0.7592864830496454,0.7580666666666667,0.7568656608124184
VGG16_BN,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0.001}",0.6894637619923579,0.7539666666666667,0.7557655029638245,0.7539666666666667,0.7535733245219447,0.6922818840270444,0.7553444444444445,0.7573115586029942,0.7553444444444444,0.755037445683584
VGG16_BN,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.2, 'weight_decay': 0}",0.6612576768782229,0.7621444444444444,0.7660727972490513,0.7621444444444444,0.7607277636184878,0.6651696136682812,0.7614111111111111,0.7653134392690095,0.7614111111111111,0.7602827893340598
VGG16_BN,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.5, 'weight_decay': 0}",0.7098411426446084,0.7492,0.7516633802161669,0.7491999999999999,0.7471061655377674,0.7155458807701578,0.7498444444444444,0.7528670134818615,0.7498444444444444,0.747968646619843
