model,config,mean_acc,std_acc,mean_f1,std_f1,mean_recall,std_recall,mean_precision,std_precision,loss,accuracy,precision,recall,f1
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0}",0.24965333333333334,0.0738348814318096,0.21694259140560318,0.07429692372024135,0.24965333333333334,0.07383488143180962,0.4240981280922959,0.07163693525429937,2.6738995308091655,0.3322111111111111,0.48100977253609917,0.3322111111111111,0.2964929556674351
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0.001}",0.3403733333333333,0.06209162514848719,0.30778841104266386,0.0618455676384478,0.3403733333333333,0.062091625148487206,0.4503196031872763,0.05454133438382561,2.393720946771279,0.3677,0.5115229762772182,0.3677,0.3276666296244479
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0.5}",0.1,0.0,0.01818181818181818,0.0,0.1,0.0,0.01,0.0,2.3026019096374513,0.1,0.01,0.1,0.01818181818181818
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.5, 'weight_decay': 0}",0.2850422222222222,0.05236900730323162,0.2420347752815458,0.054731122016500725,0.28504222222222225,0.05236900730323161,0.43934502319633917,0.05638157838788262,2.8853274836619693,0.34242222222222224,0.4767602785380022,0.34242222222222224,0.3035454614934861
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.5, 'weight_decay': 0.001}",0.2878822222222222,0.08883691417979157,0.2485592542279711,0.09018053706810761,0.2878822222222222,0.08883691417979157,0.4228272821204596,0.08466685141281712,2.596903954366139,0.3727111111111111,0.5026261472121307,0.37271111111111116,0.3319828324000135
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.5, 'weight_decay': 0.5}",0.1,0.0,0.01818181818181818,0.0,0.1,0.0,0.01,0.0,2.3026076793670653,0.1,0.01,0.1,0.01818181818181818
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.2, 'weight_decay': 0}",0.2615777777777778,0.052184741869157676,0.23532386505184452,0.05948121118628182,0.2615777777777778,0.052184741869157655,0.4294827040597329,0.0705279190654677,3.0683139128658508,0.3038666666666667,0.44731094948543737,0.3038666666666667,0.28628180384506197
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.2, 'weight_decay': 0.001}",0.2687088888888889,0.07040397865090114,0.2304574970276316,0.08320671418286779,0.2687088888888889,0.07040397865090114,0.4387587075915667,0.05603416229952399,2.6087109961824284,0.3329666666666667,0.47729832295455277,0.33296666666666663,0.30654336478496896
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.2, 'weight_decay': 0.5}",0.1,0.0,0.01818181818181818,0.0,0.1,0.0,0.01,0.0,2.3026261568069457,0.1,0.01,0.1,0.01818181818181818
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.5, 'weight_decay': 0}",0.2960911111111111,0.07025870465819102,0.2653350765384133,0.07464926213775691,0.29609111111111114,0.07025870465819103,0.44849659772197775,0.061863845833706396,2.9142153371638724,0.35873333333333335,0.5047694805138208,0.3587333333333333,0.33070409686479796
