model,config,val_accuracy,val_f1,val_recall,val_precision,test_loss,test_accuracy,test_precision,test_recall,test_f1
ResNet,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.5, 'weight_decay': 0.001}",0.7588583333333333,0.7577104997159648,0.7588583333333333,0.7626721007760586,0.6806486463058347,0.7613555555555556,0.7657005355559938,0.7613555555555556,0.7595990800681041
ResNet,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.5, 'weight_decay': 0}",0.7609116666666667,0.7601119863865108,0.7609116666666667,0.7640414895865106,0.6604296704664843,0.7674333333333333,0.7679838084014121,0.7674333333333333,0.7668658622666468
ResNet,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0.001}",0.7608283333333333,0.7602725668556618,0.7608283333333333,0.7640063517688485,0.679723907864649,0.7613222222222222,0.7652869130297997,0.7613222222222223,0.7615568580003407
ResNet,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.2, 'weight_decay': 0}",0.7610966666666666,0.7607236362816977,0.7610966666666666,0.7651832331603152,0.6697256243762875,0.7659666666666667,0.7676151995315211,0.7659666666666667,0.7646184198418131
ResNet,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.5, 'weight_decay': 0}",0.7584838888888888,0.7577219513802749,0.7584838888888888,0.7641291137310421,0.6653283560139363,0.7672555555555556,0.7705820115013855,0.7672555555555556,0.7671925332259756
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.5, 'weight_decay': 0}",0.3495432222222222,0.328187821279239,0.3495432222222222,0.4042986066989094,32.9984144058026,0.3335777777777777,0.3716811574451087,0.3335777777777778,0.3184353187791519
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.5, 'weight_decay': 0}",0.3545111111111111,0.3402841353056312,0.3545111111111111,0.4135837149851841,30.10483629253164,0.3558333333333333,0.3896341701861868,0.3558333333333333,0.3383179651811054
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.2, 'weight_decay': 0.001}",0.4101073333333333,0.391836454810511,0.4101073333333333,0.4863665915393667,7.775573963791775,0.4310444444444444,0.4966639526617385,0.4310444444444444,0.4139643727118932
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0.001}",0.3963665555555555,0.3833705377141213,0.3963665555555555,0.4870470192826407,8.955538452034302,0.3925444444444444,0.4876952414962778,0.3925444444444445,0.3857300289302879
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0}",0.3673661111111111,0.3482612151028246,0.3673661111111111,0.4314189869065293,31.84154647077841,0.3584888888888889,0.4132618895381278,0.3584888888888889,0.338054798655003
DenseNet121,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.5, 'weight_decay': 0.001}",0.7768666666666667,0.775976396923798,0.7768666666666666,0.7759118775500399,0.642481317294055,0.7758777777777778,0.7752666429529842,0.7758777777777778,0.7751526666072063
DenseNet121,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.5, 'weight_decay': 0}",0.7769888888888888,0.7755582883373064,0.776988888888889,0.7758324355936145,0.6405386347025686,0.7758888888888889,0.7748044475568777,0.7758888888888889,0.7745663376702687
DenseNet121,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0.001}",0.7896,0.7893673761268263,0.7896000000000001,0.7909097284460928,0.5975083437358575,0.7883555555555556,0.7897188073867133,0.7883555555555557,0.7882064797334293
DenseNet121,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.2, 'weight_decay': 0}",0.7936888888888889,0.7933420472184826,0.7936888888888889,0.7934831779411354,0.5901030079563275,0.7911555555555555,0.7910656301146403,0.7911555555555556,0.7909070386761791
DenseNet121,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.5, 'weight_decay': 0}",0.7793888888888889,0.7784854823454779,0.7793888888888889,0.7788489549779936,0.6317804840125523,0.7775111111111112,0.7771818804881748,0.7775111111111112,0.776724490008247
VGG16_BN,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.5, 'weight_decay': 0.001}",0.7532222222222222,0.7533387919071146,0.7532222222222222,0.7567714776697472,0.6908786489982178,0.7528444444444444,0.7563981586418694,0.7528444444444444,0.7530163019970052
VGG16_BN,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.5, 'weight_decay': 0}",0.7559666666666667,0.7546287218403069,0.7559666666666668,0.7570593587355454,0.6775882518772464,0.7580666666666667,0.7592864830496454,0.7580666666666667,0.7568656608124184
VGG16_BN,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0.001}",0.7539666666666667,0.7535733245219447,0.7539666666666667,0.7557655029638245,0.6922818840270444,0.7553444444444445,0.7573115586029942,0.7553444444444444,0.755037445683584
VGG16_BN,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.2, 'weight_decay': 0}",0.7621444444444444,0.7607277636184878,0.7621444444444444,0.7660727972490513,0.6651696136682812,0.7614111111111111,0.7653134392690095,0.7614111111111111,0.7602827893340598
VGG16_BN,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.5, 'weight_decay': 0}",0.7492,0.7471061655377674,0.7491999999999999,0.7516633802161669,0.7155458807701578,0.7498444444444444,0.7528670134818615,0.7498444444444444,0.747968646619843
