model,config,mean_acc,std_acc,mean_f1,std_f1,mean_recall,std_recall,mean_precision,std_precision,loss,accuracy,precision,recall,f1
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0}",0.24076444444444445,0.03787663229982857,0.20283921752752226,0.04524100217479293,0.24076444444444445,0.03787663229982858,0.33036625536594055,0.04667062951492957,33.717310980142,0.276,0.35388010402119485,0.27599999999999997,0.24859785641635607
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0.001}",0.25413555555555556,0.046657224452386827,0.22157643706740876,0.05727960882556715,0.25413555555555556,0.046657224452386827,0.3421107262007536,0.06177000004364115,23.081352744115335,0.29333333333333333,0.3523900172086923,0.29333333333333333,0.27610657016448537
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0.5}",0.1,0.0,0.01818181818181818,0.0,0.1,0.0,0.01,0.0,2.3026419639587403,0.1,0.01,0.1,0.01818181818181818
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.5, 'weight_decay': 0}",0.2575266666666667,0.05168563429173601,0.22507332001567715,0.06334188324924986,0.2575266666666667,0.05168563429173601,0.3452910915154645,0.05147485696077959,31.86901475503711,0.295,0.35633159873883824,0.295,0.27579963072889546
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.5, 'weight_decay': 0.001}",0.23066666666666666,0.0437362511240215,0.19276149317564412,0.053725510891223696,0.23066666666666666,0.0437362511240215,0.3339582359889212,0.051731879156785496,25.324227149088895,0.2767777777777778,0.3567929404107995,0.27677777777777773,0.25379176522966695
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.5, 'weight_decay': 0.5}",0.1,0.0,0.01818181818181818,0.0,0.1,0.0,0.01,0.0,2.3026198149787054,0.1,0.01,0.1,0.01818181818181818
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.2, 'weight_decay': 0}",0.23258222222222222,0.03956443096432532,0.19372811784185012,0.04904975518567039,0.23258222222222222,0.03956443096432532,0.3119673085033138,0.052371553606225925,29.350949544643143,0.2771111111111111,0.31935654876052516,0.27711111111111114,0.25478008779738687
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.2, 'weight_decay': 0.001}",0.2568666666666667,0.052903102188949294,0.2237210956879404,0.06572357357399405,0.25686666666666663,0.052903102188949294,0.33835025251465817,0.08278169410614157,22.2263018198912,0.30377777777777776,0.34846703761534,0.30377777777777776,0.2841135092588675
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.2, 'weight_decay': 0.5}",0.1,0.0,0.01818181818181818,0.0,0.1,0.0,0.01,0.0,2.3026190280914305,0.1,0.01,0.1,0.01818181818181818
SmallCNN,"{'batch_size': 8, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.5, 'weight_decay': 0}",0.27744444444444444,0.03686098444631155,0.24773182122334106,0.046992264490431715,0.27744444444444444,0.03686098444631156,0.34490075185817026,0.050525953910004806,25.257471830615664,0.30577777777777776,0.34364794583302316,0.3057777777777778,0.2834391531951318
